budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,2,26272044,yieldvault_safe_01_consume_storage_gap,Safe,safe,consume_storage_gap,Safe,0.0,
32,2,26272045,yieldvault_safe_02_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,2,26272046,yieldvault_safe_03_add_function,Safe,safe,add_function,Safe,0.0,
32,2,26272047,yieldvault_unsafe_behavior_01_change_call_recipient,Unsafe,behavior,change_call_recipient,Unsafe,0.4065,"{""active"": true, ""amount"": 10255, ""balance"": 777366, ""call_ok"": true, ""limit"": 674, ""owner_zero"": false, ""sender_owner"": true, ""total"": 397139}"
32,2,26272048,yieldvault_unsafe_behavior_02_external_call_order_change,Unsafe,behavior,external_call_order_change,Unsafe,0.5104,"{""active"": false, ""amount"": 8886, ""balance"": 1004295, ""call_ok"": true, ""limit"": 5389, ""owner_zero"": true, ""sender_owner"": true, ""total"": 729495}"
32,2,26272049,yieldvault_unsafe_behavior_03_success_to_revert,Unsafe,behavior,success_to_revert,Unsafe,0.3821,"{""active"": true, ""amount"": 16745, ""balance"": 328856, ""call_ok"": true, ""limit"": 29700, ""owner_zero"": true, ""sender_owner"": true, ""total"": 139694}"
32,2,26272050,stakepool_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,2,26272051,stakepool_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.5279,
32,2,26272052,stakepool_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5167,
32,2,26272053,stakepool_unsafe_behavior_01_conditional_state_update,Unsafe,behavior,conditional_state_update,Unknown,0.3475,
32,2,26272054,stakepool_unsafe_behavior_02_conditional_event,Unsafe,behavior,conditional_event,Unknown,0.3442,
32,2,26272055,stakepool_unsafe_behavior_03_revert_data_change,Unsafe,behavior,revert_data_change,Safe,0.5778,
32,2,26272056,delegatedstake_safe_01_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.4795,
32,2,26272057,delegatedstake_safe_02_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.5193,
32,2,26272058,delegatedstake_safe_03_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5284,
32,2,26272059,delegatedstake_unsafe_behavior_01_unsupported_hash_return,Unsafe,behavior,unsupported_hash_return,Unknown,0.3366,
32,2,26272060,delegatedstake_unsafe_behavior_02_arithmetic_operator_change,Unsafe,behavior,arithmetic_operator_change,Unsafe,0.3743,"{""active"": true, ""amount"": 54271, ""balance"": 338724, ""call_ok"": true, ""limit"": 56498, ""owner_zero"": true, ""sender_owner"": false, ""total"": 296011}"
32,2,26272061,delegatedstake_unsafe_behavior_03_comparison_operator_change,Unsafe,behavior,comparison_operator_change,Safe,0.5643,
32,2,26272062,ballotbox_safe_01_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,2,26272063,ballotbox_safe_02_add_function,Safe,safe,add_function,Safe,0.0,
32,2,26272064,ballotbox_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,2,26272065,ballotbox_unsafe_behavior_01_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.3756,"{""active"": true, ""amount"": 4013, ""balance"": 1015499, ""call_ok"": false, ""limit"": 18489, ""owner_zero"": false, ""sender_owner"": true, ""total"": 71984}"
